Identificador;Nome do Contrato;Cliente/Fornecedor;Data de Início;Data de Vencimento;Status;Valor do Contrato;Tipo de Contrato
CT-001;Manutenção TI;ABC Ltda.;15/01/2023;15/01/2025;Ativo;R$ 150.000,00;Serviço
CT-002;Fornecimento Materiais;XYZ S.A.;10/06/2022;10/06/2024;Expirado;R$ 200.000,00;Fornecimento
CT-003;Consultoria Financeira;123 Consulting;01/09/2023;01/09/2024;Pendente de Renovação;R$ 100.000,00;Consultoria
CT-004;Desenvolvimento Web;Empresa Beta;20/02/2024;20/02/2026;Ativo;R$ 300.000,00;Serviço
CT-005;Suporte Técnico;Fornecedor Z;01/07/2023;01/07/2024;Próximo ao Vencimento;R$ 80.000,00;Fornecimento
CT-006;Software ERP;Tech Solutions;10/12/2022;10/12/2024;Ativo;R$ 250.000,00;TI
CT-007;Consultoria RH;Alpha Corp.;05/05/2023;05/05/2025;Ativo;R$ 175.000,00;Consultoria
CT-008;Treinamento TI;Delta Group;15/08/2023;15/08/2024;Próximo ao Vencimento;R$ 90.000,00;Serviço
CT-009;Segurança Digital;Beta Tech;25/11/2023;25/11/2025;Ativo;R$ 120.000,00;TI
CT-010;Logística e Transporte;Global Partners;30/09/2021;30/09/2023;Expirado;R$ 210.000,00;Fornecimento
CT-011;Auditoria Fiscal;Compliance Corp;20/04/2023;20/04/2024;Próximo ao Vencimento;R$ 95.000,00;Consultoria
CT-012;Infraestrutura Cloud;CloudTech Ltda.;15/06/2023;15/06/2025;Ativo;R$ 320.000,00;TI
CT-013;Fornecimento de Hardware;Hardware Solutions;01/10/2022;01/10/2024;Pendente de Renovação;R$ 180.000,00;Fornecimento
CT-014;Consultoria Estratégica;Strategy Experts;10/12/2023;10/12/2026;Ativo;R$ 400.000,00;Consultoria
CT-015;Manutenção Predial;BuildTech;15/02/2023;15/02/2024;Expirado;R$ 220.000,00;Serviço
